"ESTADO","INGRESOS","CASA","PRECIO_DISPOSITIVO","MESES","DURACION","SOBRECARGO","SALDO_RESTANTE","SATISFACCION"
"VINCULADO",1590316,7e+08,1907575,26,15.2,2.55849464025093,14.6,3.48603885471205
"VINCULADO",888102,2.72e+08,416792,45,16,27.5326176562343,12.4,2.36790693070959
"RETIRADO",7081350,1.459e+09,449524,5,16.4,169.063477234752,77.4,7.8952828303901
"RETIRADO",1456975,5.55e+08,1391755,37,17.6,223.403807346209,14.4,8.83622413855695
"RETIRADO",7581811,1.149e+09,1199532,11,1.5,246.871254783566,55.8,8.29358502189339
"VINCULADO",7537016,3.6e+08,530164,43,13.1,0,58.4,2.20409288349104
"RETIRADO",3457415,8.5e+07,814502,6,2.5,187.069015389516,8.6,8.01407096529432
"RETIRADO",1255257,9.85e+08,502674,53,15.9,161.065828027207,16.2,8.546911968575
"RETIRADO",7011576,1.366e+09,657382,33,14,238.698828223227,74.7,7.93454063990023
"VINCULADO",7319634,1.599e+09,1259835,12,2,0,72.7,1.20822437308838
"VINCULADO",8252185,1.526e+09,519598,24,2,34.2004697661324,94.8,3.07739667857949
"RETIRADO",2646068,1e+09,409741,0,1.5,298.463697646336,21.6,8.17795657743103
"VINCULADO",3814388,2.64e+08,2276844,54,2,38.8491776320548,11.5,3.35336493898068
"RETIRADO",7132447,1.002e+09,1622589,34,0.9,267.049131469962,78.4,8.21138656594156
"VINCULADO",6843658,5.59e+08,1203145,22,15.3,22.8884645483788,16.2,2.96887167073473
"RETIRADO",7659140,8.54e+08,2944507,37,18.4,287.722935817702,80.8,8.16327021718107
"RETIRADO",1441838,4.18e+08,1544962,23,16.3,296.297723745987,8.2,8.60301814653551
"RETIRADO",7409416,8.57e+08,1140886,16,2.3,161.265485722059,83.4,8.57341125019057
"RETIRADO",7713870,5.6e+08,3025977,25,16.1,255.626209179282,60.2,8.49426602726662
"RETIRADO",6365225,6.31e+08,628725,30,16.6,240.848746618978,42.7,8.68708706611789
"VINCULADO",7858989,1.764e+09,1550312,3,17,50.7891057279446,63.5,3.40731432184841
"RETIRADO",7636355,1.799e+09,2136778,52,14.5,141.9866356061,82.9,8.34961307934914
"VINCULADO",6990370,1.506e+09,1269692,0,2.4,7.09851633594969,67.5,2.50973389850478
"RETIRADO",753292,7.96e+08,1623698,23,16,192.48408087208,15.7,8.33506955847139
"VINCULADO",2587093,1.4e+08,358106,48,1.9,27.2510274699438,15,1.72971100896777
"RETIRADO",773055,6.93e+08,1604367,0,16.7,288.740848520977,12.1,8.26505082542964
"VINCULADO",8125155,1.725e+09,944843,33,0.9,150.376232733054,69.4,8.29412921361379
"RETIRADO",8691926,1.978e+09,1100248,10,15.1,259.381895581155,51.1,8.28994969299472
"RETIRADO",6968461,7.25e+08,828127,24,15.7,0,80.8,2.48187047431671
"VINCULADO",3264231,7.61e+08,393520,36,3.1,0,10.3,2.09765016918124
"RETIRADO",6860005,2.01e+08,2632181,36,16.4,33.4288694822598,72.4,8.23426115156265
"VINCULADO",6911383,4.62e+08,1464308,35,16.4,41.1370447889814,58.9,2.64290863934318
"RETIRADO",3488400,5.85e+08,2268150,14,1.3,252.576631228222,23.3,8.17345745318403
"RETIRADO",6498680,1.569e+09,1157466,50,2,325.847931896347,73.2,8.2459647106773
"RETIRADO",3306767,7.84e+08,384574,43,1.9,86.4634597942404,27.1,7.96516392297213
"VINCULADO",2909966,8.4e+07,2578294,22,0,27.1534123419832,4.9,3.2154550831885
"RETIRADO",1199998,7.11e+08,1043321,24,17.6,181.405741011078,3.3,8.4419852700604
"VINCULADO",7697177,4.26e+08,623986,43,16.1,15.2739764374504,67.3,2.67813766349604
"VINCULADO",1324899,5.45e+08,412080,19,16.7,39.9893282443752,27,2.82370564227764
"RETIRADO",7770655,4.5e+08,298211,5,17.1,163.179239304274,82.3,7.91396143506919
"VINCULADO",3194502,7.17e+08,1273049,46,2.6,81.9524212762978,10.7,2.87987442061527
"RETIRADO",3454739,6.05e+08,1007057,25,0,77.162814919606,9.2,7.9155114247127
"RETIRADO",2760854,8.5e+07,319314,4,3.3,279.435388927924,37.7,7.95382333950223
"VINCULADO",7200011,8.6e+07,1806408,23,2.3,0,59.7,2.68452234515897
"VINCULADO",6712999,4.59e+08,2208386,26,1.4,0,87.7,2.77390164772476
"RETIRADO",7642015,8.4e+07,1821848,31,15.3,174.698716946703,48,8.60865843812838
"VINCULADO",866070,6.51e+08,1087270,30,16.6,143.725901732007,3.3,8.24694036839142
"RETIRADO",6495878,3.66e+08,1532560,11,15.4,183.365918339824,60.4,7.91042569217118
"RETIRADO",3418205,3.55e+08,1631237,33,1.7,103.994786139711,19.8,8.28278360982802
"VINCULADO",6028735,9.8e+08,1858769,36,2,0,71.7,2.26897655261128
"VINCULADO",7556310,8.4e+07,401003,24,16.1,19.7064185708513,92.4,3.32579272146951
"RETIRADO",7339712,3.86e+08,2510132,7,15.9,204.583923990112,71.8,8.49249279936747
"VINCULADO",500452,1.12e+08,1221589,13,18.7,0,0,2.55999161309541
"RETIRADO",7737951,8.5e+07,2650299,32,4,216.133903240602,64.7,8.00807848439758
"VINCULADO",6549784,9.21e+08,1213649,0,16.2,0,63.8,2.53284573921188
"RETIRADO",1120732,7.41e+08,547889,35,16.8,221.970606863664,24.6,7.99709303593528
"RETIRADO",1049623,8.53e+08,329314,29,15.8,193.187904634904,12.9,8.05460933420129
"RETIRADO",6814896,4.51e+08,1581580,53,17.5,164.864967821419,91.5,8.60870392543214
"VINCULADO",1740282,3.82e+08,268350,25,15.6,0,27.3,3.12543141051716
"RETIRADO",1904106,1.06e+09,1386813,0,16.4,285.153669666624,10.3,8.39283050688675
"VINCULADO",7177539,7.66e+08,1813713,31,15.8,31.6016080921254,79.3,2.95850838472408
"RETIRADO",7524162,8.4e+07,1751916,19,14.5,252.93692047973,77,8.41396845528342
"RETIRADO",3580672,7.79e+08,593604,33,1.9,306.625403877287,19.9,8.25799597496684
"RETIRADO",4126736,3.28e+08,844142,35,3,195.944832581432,21.4,8.16578171099413
"VINCULADO",1777968,4.62e+08,1303819,17,17,2.84193456691906,11.5,2.96626193901343
"RETIRADO",6901740,5.99e+08,1382383,24,14.9,180.323842122878,48.1,8.10756676262351
"VINCULADO",460845,1.07e+08,2794098,33,15.8,3.59721480575443,13,3.31708849946272
"RETIRADO",976482,2.02e+08,1224664,33,15.7,167.48501896725,15.6,7.59243205167523
"RETIRADO",2352960,5.55e+08,1829111,37,1.3,30.7314492365945,0,8.2338452939528
"VINCULADO",814964,1.01e+09,337688,3,14.9,0,8.1,3.06851262539328
"VINCULADO",7666686,1.703e+09,2379922,36,16.3,0.310667624107578,87.3,2.79152257466409
"VINCULADO",7402449,8.4e+07,1370861,15,16.2,209.274637650431,64.6,7.93165496282405
"VINCULADO",1025206,7.98e+08,1309158,14,14.1,0,13.8,2.63252760592356
"RETIRADO",1728622,3.89e+08,1543090,18,15.6,108.327294191153,15.9,8.85766437695407
"VINCULADO",6137099,3.77e+08,1063720,27,16,0,54.9,2.49479451546236
"VINCULADO",6656621,5.43e+08,1960338,9,14.7,31.7415857453875,75.7,2.9067746788848
"RETIRADO",482010,9.77e+08,1119735,36,14.7,208.237193826192,31.1,8.92469700719976
"RETIRADO",7221115,5.12e+08,1479940,3,14.6,245.065503223403,53.6,8.28185418779085
"VINCULADO",6802955,6.84e+08,2995515,18,16.2,93.8514892018407,38,8.77855454244658
"VINCULADO",3123697,7.46e+08,1071926,44,1.3,23.6964257656232,19.5,2.63492193260611
"VINCULADO",5774341,8.14e+08,1716451,0,17.6,39.7695019322034,62.1,3.45417045461708
"RETIRADO",7878207,1.018e+09,941200,22,16.8,142.9344836858,61.4,8.22070081540965
"VINCULADO",1808328,3.74e+08,423717,40,16.7,50.461845412676,10.5,3.53063761583287
"VINCULADO",7122301,7.99e+08,1760196,13,15.1,224.228172882152,59.2,8.3919289812689
"VINCULADO",2141801,5.76e+08,2560804,13,15.8,35.8817859447038,6.1,1.77067680266467
"VINCULADO",6965849,6.59e+08,1110663,18,15.6,24.4257616150577,92.3,2.81391729473085
"VINCULADO",1060030,2.37e+08,521720,5,14.8,15.9911968665568,31.8,2.98901728549618
"VINCULADO",2603225,3.09e+08,567284,35,0.8,0,12.3,2.9238655887666
"RETIRADO",7363708,4.44e+08,1461696,9,15.6,152.823905935933,50,8.2929902138304
"VINCULADO",7738098,1.684e+09,460242,20,16.4,0,60.7,2.35604821504024
"VINCULADO",8163095,9.29e+08,522399,0,15.6,20.8524381402611,37.8,2.69149281105598
"RETIRADO",1254914,2.74e+08,471106,17,16.1,295.65130346425,26,9.02281239663725
"RETIRADO",640475,4.74e+08,326086,5,15.4,235.001674101207,17.6,8.52365319843406
"RETIRADO",1415390,9.2e+07,752186,30,15.7,27.5249936833455,21,2.38297071356436
"VINCULADO",7628305,1.733e+09,1782563,37,15.1,32.8999431748538,57.9,2.2664787192457
"VINCULADO",7053240,1.589e+09,723433,0,4,5.97403325096116,72,2.88504366309352
"VINCULADO",7647109,1.73e+09,2188015,30,17.1,11.1514629875382,73.7,3.46249962711933
"VINCULADO",6751617,6.13e+08,1526298,15,16.6,19.284839262811,73.6,3.05448324071645
"RETIRADO",7814631,8.2e+07,499554,15,16.1,197.760448646424,59.7,8.34726435123959
"VINCULADO",3167154,7.66e+08,1454406,19,2.2,0,33,2.34540627301423
"RETIRADO",7674137,1.831e+09,365782,27,15.6,242.022231621545,45.1,8.74439733910018
"VINCULADO",1618228,3.49e+08,2033193,53,14.8,40.4291305263027,29.4,2.97805951633961
"VINCULADO",3246486,2.37e+08,1025537,34,0,19.0152306896923,8.4,2.66598751580912
"VINCULADO",4656390,4.9e+08,2468132,11,1,0,20.5,2.64392699853025
"VINCULADO",775752,1.59e+08,2264149,34,16.3,45.898640945088,0,3.35171709498615
"RETIRADO",1226952,2.45e+08,1813233,43,17.1,245.247578859564,4.9,8.73959451034043
"VINCULADO",7371948,1.88e+08,1693739,24,3.5,0,69.1,2.688300538537
"RETIRADO",7171003,1.585e+09,1101454,29,14.5,189.409940814686,88.4,7.75686935285663
"VINCULADO",6798368,7.7e+08,1783947,20,2.5,0,49.4,2.61408657808488
"VINCULADO",7888404,6.04e+08,2173916,16,16.3,0,79.9,2.06683445043958
"VINCULADO",698786,1.48e+08,1116956,29,16,13.2494110446296,36.7,2.32040490207778
"VINCULADO",7081627,3.09e+08,2001531,13,16.2,69.699316177168,48.3,2.82368689034063
"RETIRADO",1814455,3.68e+08,1165288,54,16.3,172.872475597066,34.8,8.73839578419686
"VINCULADO",7253390,1.49e+08,791078,6,4.1,24.2491674081302,58.4,3.30588446834938
"VINCULADO",7167261,1.619e+09,2176642,31,15.9,0,73.6,2.68445317359223
"RETIRADO",7128282,4.83e+08,878426,11,18.1,53.1833808097137,67.8,8.20000453321743
"RETIRADO",2069983,4.18e+08,391999,29,15.8,29.5889692750343,18.2,2.78659450663588
"RETIRADO",4435454,6.77e+08,300665,16,3.7,205.761153755736,35.4,8.94629042263793
"RETIRADO",3408202,1.8e+08,1655238,0,1.7,217.014458774733,26.9,8.48899505138032
"VINCULADO",839184,2.61e+08,863257,30,17.2,63.9596035511092,11.9,2.69857056072772
"RETIRADO",2761553,1.155e+09,3169383,18,1.3,189.57731107441,17.4,8.38703686765484
"RETIRADO",7546004,5.3e+08,2090174,20,3.8,66.8347392792644,98.1,7.9452376785304
"VINCULADO",4040591,4.95e+08,350353,16,2.2,17.0902383331986,7.2,2.15479155127185
"RETIRADO",7614644,8.3e+08,351740,13,15.8,11.1490657581983,63.1,2.72304679027505
"RETIRADO",7723325,1.687e+09,1690371,34,16.2,252.681266970618,33.3,8.51672063814861
"RETIRADO",7419360,4.24e+08,3900085,19,14.8,106.426397098761,59.3,8.16941607638071
"VINCULADO",8108065,4.92e+08,1555042,0,3.8,0,59.7,2.84859538123719
"VINCULADO",4156413,9.6e+08,1600210,38,1.5,11.5826466972877,14.9,2.7689421671511
"VINCULADO",6316996,6.05e+08,2786579,16,1.7,14.4258537451822,79.8,2.65745467289825
"RETIRADO",4480350,5.39e+08,1541184,11,1,235.938010438813,19.8,7.97172555259017
"VINCULADO",7259612,1.769e+09,1679516,21,2.2,51.1607603835516,65.6,2.16024584612748
"RETIRADO",1221121,5.46e+08,2590269,23,15.8,9.42176959942727,0,2.30219975333444
"RETIRADO",560082,1.214e+09,2725189,9,18.4,135.479782545536,8.6,8.30491496205514
"VINCULADO",1225065,2.76e+08,1325859,9,14.7,4.82836726232268,0,2.65778453597588
"RETIRADO",1419963,3.34e+08,1079202,0,14.4,219.856403757891,10.8,8.41638167130853
"RETIRADO",4130172,8.65e+08,317581,31,3.5,219.306423537623,8.5,8.22743580393101
"RETIRADO",3457300,6.13e+08,411343,25,0.9,213.39004848453,26,8.42950001587209
"VINCULADO",602786,1.429e+09,1057696,25,16.9,54.7445487191427,23,2.49095666630592
"VINCULADO",3490273,9.28e+08,845959,5,2.5,8.92288478440498,18.8,2.29070986407265
"RETIRADO",6745177,5.78e+08,1504125,36,2.4,121.329979958048,37.7,7.70438619939792
"VINCULADO",6490591,8.4e+07,1659753,19,16.1,12.5646567095133,78.1,3.41215093243629
"RETIRADO",3176342,8.4e+07,345331,0,2.8,195.926377685327,16.2,7.8695351236617
"VINCULADO",7171573,6.04e+08,1634653,22,1.9,0,70.7,1.39805832034065
"VINCULADO",3582523,7.22e+08,839669,40,4.1,60.8994054440745,14.3,2.74509136379387
"VINCULADO",6894952,1.495e+09,1166016,4,2.4,8.67389217034029,67.9,3.36047961821649
"VINCULADO",3369480,1.131e+09,458995,5,4.7,113.742442752211,14.5,7.88411652918811
"VINCULADO",756740,7.59e+08,521954,14,17.1,0,27.7,3.49641415839016
"VINCULADO",425986,7.9e+08,999679,37,18.7,45.7742026647538,10.4,3.15931522324445
"RETIRADO",3593914,6.89e+08,1343637,2,0.4,181.257977015608,14,7.76631172011696
"VINCULADO",7433217,4.85e+08,475358,31,14.7,47.1654553133959,49,2.8309353548364
"RETIRADO",6389783,4.79e+08,1078036,12,17.4,192.22869060042,39.5,8.25086886150632
"VINCULADO",150000,3.87e+08,1355690,31,17.3,0,23.1,2.04592624260736
"RETIRADO",7157604,6.27e+08,1732434,0,1.3,215.989904709137,89.2,8.15036756281187
"RETIRADO",4397071,4.93e+08,638687,9,2.5,206.530787961693,15.5,8.61090742202218
"VINCULADO",7435820,1.752e+09,778209,30,0.5,49.8382343741655,90.2,3.31636280005863
"VINCULADO",3436103,9.22e+08,1413408,12,0.9,34.4069604164076,14.8,2.74426478818155
"RETIRADO",943981,1.8e+08,535685,30,16.4,167.793247987552,17.1,8.14676157274044
"RETIRADO",7343190,1.699e+09,503173,15,18,201.301888097048,65.5,8.70627059500146
"VINCULADO",2700037,5.52e+08,1021660,27,1.3,39.9953401744716,25.7,2.66854153411302
"VINCULADO",7700681,5.11e+08,1179766,34,2.6,19.4126108468792,79.8,2.7205654489793
"VINCULADO",3037281,6.41e+08,1099960,16,2.6,0,19.8,2.77229235199519
"VINCULADO",1405579,4.68e+08,1314343,20,16.9,0,29.7,2.69726046538579
"VINCULADO",3283476,4.2e+08,818781,0,1.2,0,20.7,2.06352979461707
"RETIRADO",7412460,5.57e+08,385461,5,1.5,174.22621395884,61.6,7.90655127796056
"RETIRADO",6846667,6.11e+08,1176578,16,4.1,244.530792054791,64.3,9.15713345020723
"VINCULADO",6859606,5.88e+08,355886,23,16.4,0,69.3,2.3247726887601
"RETIRADO",2843665,3.14e+08,2136793,34,1,34.0711728001596,4,3.11205180613318
"RETIRADO",1899885,7.51e+08,604226,5,15.8,179.99440817618,19.9,7.84279149509124
"RETIRADO",7194206,4.25e+08,2158469,37,16.8,267.487134700977,69.1,8.04938521315919
"VINCULADO",3295578,8.16e+08,887190,21,1.6,45.1501238250972,5.1,3.31649408118845
"VINCULADO",1011469,2.48e+08,394890,26,15.3,34.3463503700518,25.9,3.96259372491665
"VINCULADO",6630441,1.421e+09,3408798,31,14.8,180.492433717008,63.2,8.99185228781457
"RETIRADO",6801832,5.4e+08,399625,43,15.9,194.00004617117,31.1,8.40949282991658
"RETIRADO",7141504,1.481e+09,2312861,25,15.5,210.827401632665,78.9,7.71985248698223
"VINCULADO",3401139,6.14e+08,1621818,30,3.5,39.3034098282818,17,1.91396649190717
"RETIRADO",6296609,3.08e+08,2325264,16,17,188.556863370076,62.6,8.73649526451592
"RETIRADO",8323441,4.73e+08,788474,0,17.5,217.295148775477,47.7,7.6573520398027
"VINCULADO",7647717,1.01e+09,697734,25,16.8,25.9195686809704,60.2,2.52913516935386
"VINCULADO",8167579,1.948e+09,393998,21,2,24.4883722144482,95.2,2.75728981776399
"VINCULADO",2523530,5.77e+08,2513768,47,2.9,0,7.4,2.90512017506299
"RETIRADO",2917976,2.83e+08,824481,3,3.3,382.943357467309,18.5,7.53721953692761
"VINCULADO",7731424,3.99e+08,493718,27,0.6,177.177617168616,59.3,8.30473644588992
"VINCULADO",1380115,5.27e+08,471993,35,17,38.8448289454575,3.3,8.28583018057143
"RETIRADO",8047035,4.3e+08,1752843,36,13.1,176.695003787962,74.4,8.13216175516903
"RETIRADO",7436012,2.77e+08,1221674,12,1.2,256.953030461265,67.4,8.36853865887773
"RETIRADO",7529186,7.51e+08,1941378,34,15,200.136584490454,71.8,8.43139731763284
"VINCULADO",4042786,1.025e+09,884701,27,1.3,48.1452560628823,7.2,2.80359003433088
"VINCULADO",7418568,3.14e+08,2347906,18,1.9,227.266894253094,79,8.34955962753365
"RETIRADO",2865342,4.44e+08,723521,48,1.9,348.036272480619,15.8,8.24248577484068
"RETIRADO",7469019,1.831e+09,2215488,16,16.7,154.304686262249,100.3,8.64641165151283
"VINCULADO",1271012,1.281e+09,1097092,42,16.6,66.9249035302439,27.6,2.27427934874506
"RETIRADO",3227540,4.07e+08,773305,25,3,253.768075308868,1.1,7.93864162070032
"VINCULADO",7770276,4.11e+08,381282,35,2.2,10.7913800801558,49.2,2.62465295843329
"RETIRADO",7605760,5.68e+08,1387234,12,1.4,35.2796085949921,39.4,2.79269362907147
"VINCULADO",2837253,6.85e+08,3094309,0,2.6,65.1850806152736,30.5,3.05990062746946
"RETIRADO",2120877,8.2e+07,1367476,22,16.6,218.805804967169,19.3,8.30430403572565
"RETIRADO",6944752,5.72e+08,710699,41,3.3,101.367513400504,68.5,8.2844280293816
"RETIRADO",7079648,1.076e+09,1498996,10,15.2,291.723378301388,71.9,8.6714800243115
"RETIRADO",3366992,5.29e+08,363641,4,2,316.664261281412,4.9,8.25024350020485
"VINCULADO",7150071,1.475e+09,2278460,16,15.7,9.4960051560096,61,3.37464178095065
"VINCULADO",8285927,1.799e+09,1496933,20,1.3,0,102.3,2.05912261777551
"RETIRADO",3499394,8.16e+08,1149506,60,2.2,222.020877681395,21.9,8.50266929815462
"VINCULADO",797291,6.06e+08,1855901,20,16.3,0,15.7,2.36990087224868
"VINCULADO",7243203,1.26e+08,1590288,13,2.4,0,79.8,3.01402228264411
"RETIRADO",3113422,9.72e+08,1714834,22,2.3,267.328714562613,12.8,8.29261757504936
"VINCULADO",150000,8.3e+07,2961386,24,16.9,43.8884849698936,26.8,2.78698590933167
"VINCULADO",7926949,1.903e+09,977319,33,0,45.7689842494824,103.9,2.94175032817552
"VINCULADO",695909,8.18e+08,743517,18,14.6,0,33.3,2.43993032342689
"VINCULADO",7925242,6.8e+08,2361103,12,17.8,67.6404108896132,79.2,1.5918039947784
"RETIRADO",946359,1.87e+08,627331,0,16.7,58.1966852022993,29.8,2.95584143131321
"VINCULADO",973398,6.92e+08,2001688,32,17.9,59.3083810286339,23.1,2.21020884389025
"RETIRADO",7147938,6.23e+08,2112939,4,18.6,154.178604968192,84.5,7.83134167884785
"VINCULADO",1862193,3.79e+08,1652079,24,17,0,19.5,2.55554812749437
"VINCULADO",8503026,1.729e+09,1355817,13,2.2,18.2438250600387,79.3,2.79913696602108
"VINCULADO",3477939,8.13e+08,1440336,29,0.8,0,7.9,2.38863103155031
"RETIRADO",7519415,1.636e+09,853492,31,2.2,299.362437256871,86,8.39590556125779
"RETIRADO",6345060,1.525e+09,1072194,30,2.4,58.4374929984357,54,3.11900866110979
"RETIRADO",3395152,5.42e+08,927905,27,2.5,255.06215788202,0,8.51778871987873
"VINCULADO",7852325,4.56e+08,1393392,32,13.9,27.2984941320135,42.4,3.17842661428543
"VINCULADO",6993067,1.583e+09,1588414,16,15.9,6.24781301998677,40.8,3.19618801959502
"RETIRADO",612564,5.65e+08,1681050,33,15.5,284.470956824124,0,8.38725128463994
"VINCULADO",3019606,8.3e+07,754724,26,1.3,17.3602990856438,13.5,2.85613214474572
"VINCULADO",810131,8.88e+08,1304964,37,16.8,0,12.6,2.23635398401598
"VINCULADO",7468192,8.5e+07,398082,22,14.7,8.32447817924558,78.7,2.46791448684762
"RETIRADO",3389368,4.15e+08,2367004,41,0.6,127.276138675309,12.8,8.2394685087659
